,Date,Open,High,Low,Close,Volume,52-week High,Threshold,Volatility,10-day MA,20-day SMA,50-day SMA,Signal
0,2022-07-05T00:00:00+05:30,1118.0,1131.35,1106.95,1111.0,1020111,,,,,,,Sell
1,2022-07-06T00:00:00+05:30,1114.2,1125.0,1111.0,1116.1,602752,,,,,,,Sell
2,2022-07-07T00:00:00+05:30,1121.7,1130.0,1111.15,1124.6,792663,,,,,,,Sell
3,2022-07-08T00:00:00+05:30,1135.8,1149.4,1127.55,1146.9,1135110,,,,,,,Sell
4,2022-07-11T00:00:00+05:30,1145.95,1155.1,1141.05,1147.4,543156,,,,,,,Sell
5,2022-07-12T00:00:00+05:30,1143.0,1147.0,1134.1,1139.75,331672,,,,,,,Sell
6,2022-07-13T00:00:00+05:30,1145.45,1150.8,1137.6,1139.85,368619,,,,,,,Sell
7,2022-07-14T00:00:00+05:30,1143.1,1146.9,1130.05,1138.95,728701,,,,,,,Sell
8,2022-07-15T00:00:00+05:30,1144.65,1158.1,1136.85,1155.45,591171,,,,,,,Sell
9,2022-07-18T00:00:00+05:30,1165.45,1186.85,1157.3,1177.15,1044459,,,,1139.715,,,Sell
10,2022-07-19T00:00:00+05:30,1176.4,1185.95,1155.5,1169.95,1099874,,,,1145.6100000000001,,,Sell
11,2022-07-20T00:00:00+05:30,1175.0,1199.0,1163.5,1186.05,1608377,,,,1152.605,,,Sell
12,2022-07-21T00:00:00+05:30,1187.0,1187.0,1163.0,1168.55,1048591,,,,1157.0000000000002,,,Sell
13,2022-07-22T00:00:00+05:30,1169.55,1176.2,1158.4,1164.95,753148,,,,1158.8049999999998,,,Sell
14,2022-07-25T00:00:00+05:30,1172.0,1172.0,1139.2,1144.95,934155,,,,1158.56,,,Sell
15,2022-07-26T00:00:00+05:30,1142.0,1150.1,1135.0,1138.2,687120,,,,1158.405,,,Sell
16,2022-07-27T00:00:00+05:30,1140.0,1177.5,1132.2,1149.35,1553736,,,,1159.355,,,Sell
17,2022-07-28T00:00:00+05:30,1155.0,1195.0,1147.5,1191.45,1043027,,,,1164.605,,,Sell
18,2022-07-29T00:00:00+05:30,1262.7,1304.7,1241.0,1294.4,7628058,,,,1178.5,,,Sell
