,Date,Open,High,Low,Close,Volume,Volatility,EMA12,EMA26,MACD,Signal Line,H-L,H-PC,L-PC,TR,ATR,Avg_Volume,Signal
11,2022-07-20T00:00:00+05:30,280.0,283.0,276.7,278.85,3156045,,275.415761071455,265.04992065229897,10.36584041915603,7.00905416417481,6.300000000000011,15.649999999999977,21.94999999999999,21.94999999999999,,,No Signal
12,2022-07-21T00:00:00+05:30,279.0,286.8,275.95,283.0,2947592,,276.58256706046194,266.3795561595361,10.203010900925847,7.647845511525017,10.850000000000023,7.949999999999989,2.900000000000034,10.850000000000023,,,No Signal
13,2022-07-22T00:00:00+05:30,285.0,285.15,276.5,277.25,1416962,,276.6852490511601,267.1847742217927,9.50047482936742,8.018371375093498,8.649999999999977,2.1499999999999773,6.5,8.649999999999977,9.328571428571422,,No Signal
14,2022-07-25T00:00:00+05:30,276.85,277.7,272.3,273.05,752613,,276.12597996636623,267.6192353905488,8.506744575817436,8.116046015238286,5.399999999999977,0.44999999999998863,4.949999999999989,5.399999999999977,9.446428571428564,,No Signal
15,2022-07-26T00:00:00+05:30,273.25,273.25,265.0,265.9,590831,,274.55275227923295,267.4918846208785,7.060867658354425,7.905010343861514,8.25,0.19999999999998863,8.050000000000011,8.25,9.539285714285707,,No Signal
16,2022-07-27T00:00:00+05:30,265.0,265.2,260.3,262.95,655612,,272.7677134670433,267.15544872303565,5.612264744007632,7.446461223890738,4.899999999999977,0.6999999999999886,5.599999999999966,5.599999999999966,9.164285714285707,,No Signal
17,2022-07-28T00:00:00+05:30,263.0,267.15,262.6,264.5,494009,,271.4957575490366,266.9587488176256,4.537008731411049,6.864570725394801,4.5499999999999545,4.199999999999989,0.3499999999999659,4.5499999999999545,8.760714285714275,,No Signal
18,2022-07-29T00:00:00+05:30,266.65,270.2,266.0,269.7,587734,,271.21948715687716,267.1618044607644,4.0576826961127495,6.303193119538391,4.199999999999989,5.699999999999989,1.5,5.699999999999989,8.535714285714278,,No Signal
19,2022-08-01T00:00:00+05:30,272.25,273.75,270.35,272.4,494319,4.887854705385345,271.4011045173576,267.54981894515225,3.85128557220537,5.812811610071787,3.3999999999999773,4.050000000000011,0.6500000000000341,4.050000000000011,8.31071428571428,1412690.6,No Signal
20,2022-08-02T00:00:00+05:30,270.0,272.2,269.15,271.15,403498,4.483399656421832,271.36247305314873,267.8164990232891,3.5459740298596216,5.359444094029354,3.0500000000000114,0.19999999999998863,3.25,3.25,8.157142857142853,1418966.6,No Signal
21,2022-08-03T00:00:00+05:30,271.25,273.0,268.1,269.4,312997,3.9289768678914547,271.0605541218951,267.9337953919344,3.126758729960727,4.912907021215629,4.899999999999977,1.8500000000000227,3.0499999999999545,4.899999999999977,7.339285714285706,1416779.05,No Signal
22,2022-08-04T00:00:00+05:30,271.4,272.65,266.85,271.15,434400,3.6099096567353146,271.0743150262189,268.1720327703096,2.902282255909313,4.5107820681543656,5.7999999999999545,3.25,2.5499999999999545,5.7999999999999545,7.485714285714274,1409038.25,No Signal
