,Date,Open,High,Low,Close,Volume,52-week High,Threshold,Volatility,10-day MA,20-day SMA,50-day SMA,Signal
0,2022-07-05T00:00:00+05:30,360.4,366.9,359.45,361.3,511387,,,,,,,Sell
1,2022-07-06T00:00:00+05:30,361.9,368.0,360.8,365.8,670766,,,,,,,Sell
2,2022-07-07T00:00:00+05:30,366.8,369.9,366.1,367.5,267928,,,,,,,Sell
3,2022-07-08T00:00:00+05:30,368.45,369.5,364.55,365.95,615151,,,,,,,Sell
4,2022-07-11T00:00:00+05:30,367.15,372.75,364.65,370.7,667678,,,,,,,Sell
5,2022-07-12T00:00:00+05:30,370.0,372.0,362.3,363.4,356220,,,,,,,Sell
6,2022-07-13T00:00:00+05:30,364.2,369.65,363.15,368.35,311184,,,,,,,Sell
7,2022-07-14T00:00:00+05:30,365.0,380.3,364.1,369.85,2620703,,,,,,,Sell
8,2022-07-15T00:00:00+05:30,367.5,376.4,367.05,370.95,2683866,,,,,,,Sell
9,2022-07-18T00:00:00+05:30,370.0,372.5,356.6,358.25,4131998,,,,366.20500000000004,,,Sell
10,2022-07-19T00:00:00+05:30,358.6,361.8,356.5,357.3,1010344,,,,365.80499999999995,,,Sell
11,2022-07-20T00:00:00+05:30,359.8,364.3,358.15,358.8,1087072,,,,365.105,,,Sell
12,2022-07-21T00:00:00+05:30,359.9,360.5,353.75,354.65,1105199,,,,363.82000000000005,,,Sell
13,2022-07-22T00:00:00+05:30,356.0,356.0,349.75,350.35,697284,,,,362.26,,,Sell
14,2022-07-25T00:00:00+05:30,350.9,352.85,345.65,347.3,729295,,,,359.91999999999996,,,Sell
15,2022-07-26T00:00:00+05:30,347.6,349.0,340.0,342.55,1051489,,,,357.835,,,Sell
16,2022-07-27T00:00:00+05:30,343.0,353.1,340.4,351.45,2779425,,,,356.145,,,Sell
17,2022-07-28T00:00:00+05:30,350.5,352.5,347.75,349.6,1195569,,,,354.12,,,Sell
18,2022-07-29T00:00:00+05:30,350.1,351.4,344.2,346.8,1064762,,,,351.705,,,Sell
19,2022-08-01T00:00:00+05:30,347.3,350.95,346.9,350.15,662948,,,9.030605854828519,350.895,358.55,,Sell
20,2022-08-02T00:00:00+05:30,350.0,351.55,346.75,350.2,834506,,,9.192343782220414,350.18500000000006,357.995,,Sell
21,2022-08-03T00:00:00+05:30,350.0,353.85,342.75,346.45,865943,,,9.3446646049469,348.95,357.0275,,Sell
22,2022-08-04T00:00:00+05:30,346.8,365.9,346.0,364.6,5084354,,,9.194910992385669,349.945,356.8825,,Sell
23,2022-08-05T00:00:00+05:30,364.5,365.6,353.7,357.6,2571758,,,8.947773907220554,350.66999999999996,356.46500000000003,,Sell
24,2022-08-08T00:00:00+05:30,358.25,364.0,357.15,360.7,765336,,,8.371287079560783,352.01,355.96500000000003,,Sell
25,2022-08-10T00:00:00+05:30,362.0,367.2,358.0,364.55,1953364,,,8.428795802735454,354.21,356.02250000000004,,Sell
