,Date,Open,High,Low,Close,Volume,Volatility,EMA12,EMA26,MACD,Signal Line,H-L,H-PC,L-PC,TR,ATR,Avg_Volume,Signal
0,2022-07-05T00:00:00+05:30,158.55,167.2,158.55,162.7,2905084,,162.7,162.7,0.0,0.0,8.649999999999977,,,8.649999999999977,,,No Signal
1,2022-07-06T00:00:00+05:30,162.3,163.7,156.1,163.25,1886514,,162.78461538461536,162.74074074074073,0.04387464387463069,0.008774928774926138,7.599999999999994,1.0,6.599999999999994,7.599999999999994,,,No Signal
2,2022-07-07T00:00:00+05:30,164.45,165.55,161.65,163.35,565083,,162.87159763313608,162.78587105624143,0.08572657689464336,0.02416525839886958,3.9000000000000057,2.3000000000000114,1.5999999999999943,3.9000000000000057,,,No Signal
3,2022-07-08T00:00:00+05:30,164.0,168.4,162.6,167.55,1218013,,163.59135184342284,163.13876949651984,0.45258234690300014,0.1098486760996957,5.800000000000011,5.050000000000011,0.75,5.800000000000011,,,No Signal
4,2022-07-11T00:00:00+05:30,166.95,170.85,165.0,166.95,1279666,,164.1080669444347,163.421082867148,0.6869840772867235,0.22527575633710126,5.849999999999994,3.299999999999983,2.5500000000000114,5.849999999999994,,,No Signal
5,2022-07-12T00:00:00+05:30,166.0,166.9,162.2,163.1,667863,,163.952979722214,163.39729895106296,0.5556807711510316,0.29135675929988736,4.700000000000017,0.04999999999998295,4.75,4.75,,,No Signal
6,2022-07-13T00:00:00+05:30,164.3,166.35,160.05,162.2,1017387,,163.68329053418108,163.3086101398731,0.3746803943079726,0.30802148630150444,6.299999999999983,3.25,3.049999999999983,6.299999999999983,,,No Signal
7,2022-07-14T00:00:00+05:30,162.45,163.75,160.3,162.55,568661,,163.50893814430708,163.2524167961788,0.256521348128274,0.29772145866685834,3.4499999999999886,1.5500000000000114,1.8999999999999773,3.4499999999999886,,,No Signal
8,2022-07-15T00:00:00+05:30,162.35,165.5,162.0,164.75,473663,,163.6998707374906,163.36334888535075,0.3365218521398674,0.30548153736146016,3.5,2.9499999999999886,0.5500000000000114,3.5,,,No Signal
9,2022-07-18T00:00:00+05:30,166.1,170.0,165.95,168.05,2122685,,164.36912139326128,163.7105082271766,0.6586131660846775,0.37610786310610367,4.050000000000011,5.25,1.1999999999999886,5.25,,,No Signal
10,2022-07-19T00:00:00+05:30,168.65,170.7,166.6,167.45,1087819,,164.84310271737493,163.9875076177561,0.8555950996188244,0.47200531040864785,4.099999999999994,2.6499999999999773,1.450000000000017,4.099999999999994,,,No Signal
11,2022-07-20T00:00:00+05:30,168.95,170.8,164.25,165.45,704527,,164.9364715300865,164.0958403868112,0.8406311432752887,0.5457304769819761,6.550000000000011,3.3500000000000227,3.1999999999999886,6.550000000000011,,,No Signal
12,2022-07-21T00:00:00+05:30,166.45,167.75,164.5,165.4,756757,,165.00778360238087,164.19244480260298,0.8153387997778907,0.5996521415411591,3.25,2.3000000000000114,0.9499999999999886,3.25,,,No Signal
13,2022-07-22T00:00:00+05:30,166.0,168.5,164.25,166.3,661686,,165.2065861250915,164.34856000241015,0.8580261226813377,0.6513269377691948,4.25,3.0999999999999943,1.1500000000000057,4.25,5.228571428571426,,No Signal
14,2022-07-25T00:00:00+05:30,167.45,170.0,162.4,162.95,1151229,,164.85941902892355,164.2449629651946,0.6144560637289658,0.643952762961149,7.599999999999994,3.6999999999999886,3.9000000000000057,7.599999999999994,5.153571428571427,,No Signal
15,2022-07-26T00:00:00+05:30,163.75,163.75,156.8,157.55,742795,,163.7348930244738,163.74903978258757,-0.014146758113781743,0.5123328587461629,6.949999999999989,0.8000000000000114,6.149999999999977,6.949999999999989,5.107142857142855,,No Signal
16,2022-07-27T00:00:00+05:30,158.25,158.25,154.45,156.0,787459,,162.54490948224705,163.17503683572923,-0.6301273534821803,0.28384081630049424,3.8000000000000114,0.6999999999999886,3.1000000000000227,3.8000000000000114,5.099999999999999,,No Signal
17,2022-07-28T00:00:00+05:30,158.65,168.45,158.65,165.35,4238463,,162.97646186959366,163.3361452182678,-0.35968334867413887,0.15513598330556763,9.799999999999983,12.449999999999989,2.6500000000000057,12.449999999999989,5.574999999999997,,No Signal
18,2022-07-29T00:00:00+05:30,166.5,181.9,161.3,178.95,8796329,,165.43392927427155,164.49272705395168,0.941202220319866,0.31234923070842735,20.599999999999994,16.55000000000001,4.049999999999983,20.599999999999994,6.6285714285714255,,No Signal
19,2022-08-01T00:00:00+05:30,179.0,184.8,177.0,183.05,4508559,3.3375436927836475,168.1440940013067,165.8673398647701,2.276754136536624,0.7052302118740668,7.800000000000011,5.850000000000023,1.9499999999999886,7.800000000000011,6.846428571428569,1807012.1,No Signal
20,2022-08-02T00:00:00+05:30,182.4,183.45,176.0,176.9,2234985,3.7070534902188648,169.49115646264414,166.68457394886119,2.8065825137829563,1.1255006722558447,7.449999999999989,0.39999999999997726,7.050000000000011,7.449999999999989,6.928571428571426,1773507.15,No Signal
21,2022-08-03T00:00:00+05:30,177.7,192.9,177.15,186.75,19094668,4.2480488563359815,172.14636316069888,168.17090180450109,3.9754613561977976,1.6954928090442354,15.75,16.0,0.25,16.0,7.824999999999998,2633914.85,No Signal
22,2022-08-04T00:00:00+05:30,187.7,191.95,179.0,184.4,6957474,4.722343321532937,174.0315380590529,169.3730572263899,4.6584808326630025,2.288090413767989,12.949999999999989,5.199999999999989,7.75,12.949999999999989,8.499999999999998,2953534.4,No Signal
23,2022-08-05T00:00:00+05:30,184.4,195.35,183.9,187.3,7707112,5.153915719461723,176.07283989612168,170.70097891332398,5.371860982797699,2.9048445275739314,11.449999999999989,10.949999999999989,0.5,11.449999999999989,8.94285714285714,3277989.35,No Signal
24,2022-08-08T00:00:00+05:30,187.9,191.6,182.7,188.65,3533911,5.578362729687824,178.00778760441065,172.03053603085553,5.977251573555122,3.5193259367701697,8.900000000000006,4.299999999999983,4.600000000000023,8.900000000000006,9.285714285714283,3390701.6,No Signal
25,2022-08-10T00:00:00+05:30,189.95,193.5,187.5,189.5,3194714,5.890440087245796,179.77582028065518,173.3245703989403,6.451249881714887,4.1057107257591134,6.0,4.849999999999994,1.1500000000000057,6.0,9.246428571428568,3517044.15,No Signal
26,2022-08-11T00:00:00+05:30,190.45,206.15,189.5,203.6,15917963,6.360432954155666,183.44107869901592,175.5671948138336,7.873883885182323,4.859345357643756,16.650000000000006,16.650000000000006,0.0,16.650000000000006,10.203571428571426,4262072.95,No Signal
27,2022-08-12T00:00:00+05:30,204.0,206.9,198.55,202.25,10252853,6.965533943689728,186.33475889916733,177.54369890169778,8.791059997469546,5.645688285608914,8.349999999999994,3.3000000000000114,5.049999999999983,8.349999999999994,10.496428571428568,4746282.55,No Signal
28,2022-08-16T00:00:00+05:30,204.7,211.4,201.15,203.35,7175984,7.411301524072083,188.95248829929542,179.45527676083128,9.497211538464143,6.41599293617996,10.25,9.150000000000006,1.0999999999999943,10.25,10.685714285714283,5081398.6,No Signal
29,2022-08-17T00:00:00+05:30,204.7,213.0,204.35,212.0,8232791,7.862866700552111,192.49825933017306,181.8659970007697,10.632262329403346,7.259246814824638,8.650000000000006,9.650000000000006,1.0,9.650000000000006,10.878571428571428,5386903.9,No Signal
30,2022-08-18T00:00:00+05:30,212.0,215.0,202.65,204.35,8420433,8.427547262284769,194.32160404860798,183.5314787044164,10.79012534419158,7.965422520698027,12.349999999999994,3.0,9.349999999999994,12.349999999999994,11.489285714285712,5753534.6,No Signal
