,Date,Open,High,Low,Close,Volume,52-week High,Threshold,Volatility,10-day MA,20-day SMA,50-day SMA,Signal
0,2022-07-05T00:00:00+05:30,201.0,203.35,189.4,190.6,10113786,,,,,,,Sell
1,2022-07-06T00:00:00+05:30,186.0,186.45,172.05,174.2,14573467,,,,,,,Sell
2,2022-07-07T00:00:00+05:30,174.0,179.8,172.2,176.55,7084426,,,,,,,Sell
3,2022-07-08T00:00:00+05:30,180.45,188.8,178.85,184.2,7001172,,,,,,,Sell
4,2022-07-11T00:00:00+05:30,185.0,187.8,181.7,186.6,2293117,,,,,,,Sell
5,2022-07-12T00:00:00+05:30,185.0,189.8,181.25,183.45,2535524,,,,,,,Sell
6,2022-07-13T00:00:00+05:30,178.65,187.0,178.05,185.45,3319501,,,,,,,Sell
7,2022-07-14T00:00:00+05:30,186.9,191.6,177.0,178.0,5069058,,,,,,,Sell
8,2022-07-15T00:00:00+05:30,181.4,183.5,175.0,182.25,3054225,,,,,,,Sell
9,2022-07-18T00:00:00+05:30,182.3,185.4,182.25,184.55,1278920,,,,182.58499999999998,,,Sell
10,2022-07-19T00:00:00+05:30,187.0,189.35,185.05,186.6,2160520,,,,182.185,,,Sell
11,2022-07-20T00:00:00+05:30,197.5,203.0,196.0,197.45,7582750,,,,184.51,,,Sell
12,2022-07-21T00:00:00+05:30,197.55,202.3,196.1,200.75,2177270,,,,186.93,,,Sell
13,2022-07-22T00:00:00+05:30,202.4,202.4,194.5,195.55,1671047,,,,188.065,,,Sell
14,2022-07-25T00:00:00+05:30,195.0,195.0,185.85,186.5,2441178,,,,188.055,,,Sell
15,2022-07-26T00:00:00+05:30,189.5,190.0,183.5,184.45,1807459,,,,188.155,,,Sell
16,2022-07-27T00:00:00+05:30,184.15,188.0,182.05,186.9,1382456,,,,188.3,,,Sell
17,2022-07-28T00:00:00+05:30,187.4,188.5,184.3,186.6,1480300,,,,189.16,,,Sell
18,2022-07-29T00:00:00+05:30,187.0,191.0,186.05,190.0,2314524,,,,189.935,,,Sell
19,2022-08-01T00:00:00+05:30,189.9,194.5,188.3,193.85,1870179,,,6.694194263845734,190.865,186.725,,Sell
20,2022-08-02T00:00:00+05:30,189.85,192.45,189.0,190.45,1410971,,,6.689706841975872,191.25,186.7175,,Sell
21,2022-08-03T00:00:00+05:30,190.0,191.8,188.6,189.35,767589,,,6.022141164945081,190.44,187.47499999999997,,Sell
22,2022-08-04T00:00:00+05:30,188.5,190.65,186.0,187.95,747962,,,5.445565554699171,189.16000000000003,188.04500000000002,,Sell
23,2022-08-05T00:00:00+05:30,187.95,205.0,186.5,197.8,5497208,,,5.7790797846970845,189.385,188.72499999999997,,Sell
24,2022-08-08T00:00:00+05:30,194.0,201.0,190.8,197.95,3164339,,,6.107378518515189,190.53,189.2925,,Sell
25,2022-08-10T00:00:00+05:30,197.6,199.0,185.65,186.9,3717004,,,5.98109081760349,190.775,189.465,,Sell
26,2022-08-11T00:00:00+05:30,189.6,191.1,186.3,187.95,3096595,,,5.918561347240759,190.88,189.59,,Sell
