,Date,Open,High,Low,Close,Volume,52-week High,Threshold,Volatility,10-day MA,20-day SMA,50-day SMA,Signal
0,2022-07-05T00:00:00+05:30,654.75,662.85,648.55,657.6,1138202,,,,,,,Sell
1,2022-07-06T00:00:00+05:30,659.0,663.0,651.25,656.5,655634,,,,,,,Sell
2,2022-07-07T00:00:00+05:30,659.2,677.8,659.2,664.85,1401791,,,,,,,Sell
3,2022-07-08T00:00:00+05:30,669.0,675.4,665.0,668.65,1048845,,,,,,,Sell
4,2022-07-11T00:00:00+05:30,666.0,671.6,649.55,655.2,1171380,,,,,,,Sell
5,2022-07-12T00:00:00+05:30,656.0,656.15,630.0,633.1,1206735,,,,,,,Sell
6,2022-07-13T00:00:00+05:30,633.15,641.75,631.6,638.4,883658,,,,,,,Sell
7,2022-07-14T00:00:00+05:30,636.55,664.5,633.0,659.3,2475429,,,,,,,Sell
8,2022-07-15T00:00:00+05:30,655.2,658.6,640.85,642.5,1232480,,,,,,,Sell
9,2022-07-18T00:00:00+05:30,647.0,661.8,646.4,655.55,517785,,,,653.165,,,Sell
10,2022-07-19T00:00:00+05:30,654.8,669.85,652.0,668.6,1212124,,,,654.265,,,Sell
11,2022-07-20T00:00:00+05:30,679.1,693.0,671.5,682.05,2197339,,,,656.8199999999999,,,Sell
12,2022-07-21T00:00:00+05:30,684.8,691.0,681.85,688.15,1398681,,,,659.15,,,Sell
13,2022-07-22T00:00:00+05:30,693.8,714.9,691.0,706.6,4168816,,,,662.9449999999999,,,Sell
14,2022-07-25T00:00:00+05:30,704.95,716.2,696.85,705.25,1522707,,,,667.95,,,Sell
15,2022-07-26T00:00:00+05:30,701.25,709.3,693.65,704.05,1263196,,,,675.0449999999998,,,Sell
16,2022-07-27T00:00:00+05:30,702.0,714.85,701.05,713.95,1440945,,,,682.6,,,Sell
17,2022-07-28T00:00:00+05:30,713.5,737.5,713.5,730.75,2329843,,,,689.745,,,Sell
18,2022-07-29T00:00:00+05:30,737.2,742.5,731.35,733.0,1300744,,,,698.795,,,Sell
19,2022-08-01T00:00:00+05:30,733.0,752.2,733.0,750.1,1597615,,,33.99332858308964,708.25,680.7075,,Sell
20,2022-08-02T00:00:00+05:30,747.0,756.65,741.85,751.9,1353642,,,37.02429669896023,716.58,685.4224999999999,,Sell
21,2022-08-03T00:00:00+05:30,746.75,746.75,716.6,726.85,1986903,,,37.4710014193433,721.06,688.9399999999999,,Sell
22,2022-08-04T00:00:00+05:30,727.0,732.0,700.1,710.65,1819548,,,37.320487529957205,723.3100000000001,691.2299999999999,,Sell
23,2022-08-05T00:00:00+05:30,711.2,716.5,703.5,706.4,940640,,,37.07217453832466,723.29,693.1175000000001,,Sell
24,2022-08-08T00:00:00+05:30,709.0,713.65,703.5,712.45,919461,,,36.190073515435685,724.01,695.98,,Sell
25,2022-08-10T00:00:00+05:30,715.0,720.2,710.0,714.65,1074783,,,33.203409285160824,725.0699999999999,700.0575,,Sell
26,2022-08-11T00:00:00+05:30,720.0,740.7,715.6,735.9,3516246,,,30.740498211043484,727.265,704.9325000000001,,Sell
27,2022-08-12T00:00:00+05:30,750.0,798.0,750.0,790.2,11297639,,,34.248370975474074,733.2099999999999,711.4775,,Sell
28,2022-08-16T00:00:00+05:30,797.0,799.2,777.3,779.0,2050222,,,33.36863274567601,737.81,718.3025,,Sell
29,2022-08-17T00:00:00+05:30,781.0,787.0,761.55,763.65,1316770,,,31.363812851420974,739.1650000000001,723.7075,,Sell
30,2022-08-18T00:00:00+05:30,765.0,768.65,747.4,749.95,2066939,,,29.029048518591672,738.97,727.775,,Sell
31,2022-08-19T00:00:00+05:30,755.0,757.15,732.35,736.0,1544259,,,26.99158969889874,739.885,730.4725000000001,,Sell
32,2022-08-22T00:00:00+05:30,733.0,733.0,718.1,721.1,1080816,,,25.219809465451885,740.9300000000001,732.12,,Sell
33,2022-08-23T00:00:00+05:30,721.1,741.7,718.25,737.9,1627767,,,24.514110329831894,744.08,733.6850000000001,,Sell
34,2022-08-24T00:00:00+05:30,737.9,737.9,724.3,733.7,746398,,,23.585088258429476,746.205,735.1075000000001,,Sell
35,2022-08-25T00:00:00+05:30,734.95,738.6,724.55,726.35,810427,,,22.543679677928935,747.375,736.2225,,Sell
36,2022-08-26T00:00:00+05:30,735.3,740.0,730.0,732.8,722594,,,21.94972185413059,747.065,737.1650000000001,,Sell
37,2022-08-29T00:00:00+05:30,719.7,726.4,710.45,723.05,1171340,,,22.134911695994802,740.35,736.78,,Sell
38,2022-08-30T00:00:00+05:30,725.55,744.4,725.5,740.85,1585747,,,22.133955071457002,736.5350000000001,737.1725,,Sell
39,2022-09-01T00:00:00+05:30,737.0,753.9,732.5,751.6,1457853,,,22.182552858402104,735.33,737.2475000000001,,Sell
40,2022-09-02T00:00:00+05:30,750.5,769.0,748.2,766.7,2035853,,,22.93130401759531,737.005,737.9875,,Sell
41,2022-09-05T00:00:00+05:30,776.5,784.85,762.3,767.7,2608201,,,23.693661155409963,740.175,740.03,,Sell
42,2022-09-06T00:00:00+05:30,770.05,779.9,768.1,776.75,1255838,,,23.988062272283727,745.74,743.335,,Sell
43,2022-09-07T00:00:00+05:30,773.0,773.0,749.4,765.45,2867500,,,22.807719578432987,748.495,746.2875,,Sell
44,2022-09-08T00:00:00+05:30,769.0,780.0,760.65,765.45,1098505,,,21.72244094915413,751.6700000000001,748.9375,,Sell
45,2022-09-09T00:00:00+05:30,768.0,792.5,766.0,787.65,2406973,,,21.79087130815185,757.8,752.5875,,Sell
46,2022-09-12T00:00:00+05:30,793.7,801.15,784.05,785.0,1551699,,,22.56400997280063,763.02,755.0424999999999,,Sell
47,2022-09-13T00:00:00+05:30,788.95,793.5,783.6,787.05,788099,,,22.31531277420374,769.4200000000001,754.885,,Sell
48,2022-09-14T00:00:00+05:30,771.95,787.5,768.0,778.45,739357,,,22.28434826580291,773.1800000000001,754.8575000000001,,Sell
49,2022-09-15T00:00:00+05:30,781.0,788.8,773.4,784.75,639729,,,23.20304469018562,776.495,755.9125,722.4810000000001,Buy
50,2022-09-16T00:00:00+05:30,787.9,787.9,736.8,745.8,1937107,,,23.277608961132216,774.405,755.705,724.245,Buy
51,2022-09-19T00:00:00+05:30,749.55,751.4,734.1,736.5,1180139,,,23.255590159878224,771.2850000000001,755.73,725.845,Buy
52,2022-09-20T00:00:00+05:30,743.9,772.7,743.15,769.45,1513832,,,21.942199639052014,770.5550000000001,758.1475,727.9370000000001,Buy
53,2022-09-21T00:00:00+05:30,770.95,784.0,762.45,766.9,1478319,,,21.4872512691893,770.7,759.5975000000001,729.9019999999999,Buy
54,2022-09-22T00:00:00+05:30,763.0,785.85,757.55,781.55,1355085,,,21.11259040677444,772.31,761.99,732.429,Buy
55,2022-09-23T00:00:00+05:30,782.9,783.9,744.85,747.1,1205045,,,19.733837323904574,768.255,763.0275,734.709,Buy
56,2022-09-26T00:00:00+05:30,744.0,744.0,708.1,723.9,1093065,,,20.535414051417895,762.145,762.5825,736.419,Buy
57,2022-09-27T00:00:00+05:30,727.55,731.9,700.0,703.45,3483488,,,22.8576687292658,753.785,761.6025000000001,737.302,Buy
58,2022-09-28T00:00:00+05:30,695.0,707.8,685.55,694.2,1508797,,,27.077478503458877,745.36,759.27,738.336,Buy
59,2022-09-29T00:00:00+05:30,697.0,706.0,677.35,686.7,1939488,,,31.562454794131497,735.5550000000001,756.025,738.959,Sell
60,2022-09-30T00:00:00+05:30,685.15,702.9,680.4,695.5,1321564,,,34.200208140333324,730.525,752.465,739.497,Sell
61,2022-10-03T00:00:00+05:30,697.4,702.1,683.0,691.85,1370936,,,36.54690020335106,726.0600000000001,748.6725,739.6929999999999,Sell
62,2022-10-04T00:00:00+05:30,705.0,713.95,695.1,707.0,907843,,,37.051060429458516,719.8149999999999,745.1850000000001,740.07,Sell
63,2022-10-06T00:00:00+05:30,722.5,773.0,722.5,763.9,6396240,,,37.008037089401874,719.5150000000001,745.1075,741.2159999999999,Sell
64,2022-10-07T00:00:00+05:30,760.0,772.0,755.05,767.35,1933491,,,37.06539908338428,718.095,745.2025000000001,742.4579999999999,Sell
65,2022-10-10T00:00:00+05:30,764.0,781.4,753.15,778.15,2064351,,,36.55008630920787,721.2,744.7275000000001,743.94,Sell
66,2022-10-11T00:00:00+05:30,784.65,785.9,768.55,774.15,1389761,,,35.99721517006584,726.225,744.185,745.1439999999999,Sell
67,2022-10-12T00:00:00+05:30,774.2,779.75,750.05,764.6,807529,,,34.92424461376544,732.34,743.0625,745.8209999999999,Sell
68,2022-10-13T00:00:00+05:30,765.65,766.7,745.35,748.25,811427,,,33.95305379258432,737.745,741.5525,746.1259999999999,Sell
69,2022-10-14T00:00:00+05:30,760.0,766.8,744.1,747.8,643056,,,32.450877451440995,743.855,739.7049999999999,746.08,Sell
70,2022-10-17T00:00:00+05:30,747.5,776.0,742.1,772.8,1768036,,,33.269085934954504,751.5849999999999,741.0550000000001,746.4979999999999,Buy
71,2022-10-18T00:00:00+05:30,776.7,787.75,771.4,777.3,2247724,,,34.21259348005639,760.13,743.095,747.507,Buy
72,2022-10-19T00:00:00+05:30,781.1,798.0,774.3,781.15,2075629,,,34.78224138536059,767.5449999999998,743.6800000000001,748.9169999999999,Buy
73,2022-10-20T00:00:00+05:30,777.95,790.0,770.8,789.0,1458835,,,35.89208643170621,770.055,744.785,750.5690000000001,Buy
74,2022-10-21T00:00:00+05:30,789.0,794.3,772.4,778.2,1062436,,,35.718881469344325,771.14,744.6175000000001,751.8839999999999,Buy
