,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
0,2022-07-05T00:00:00+05:30,31.65,31.95,31.25,31.35,3573077,,,No Signal
1,2022-07-06T00:00:00+05:30,31.4,31.95,30.8,31.8,7086970,,,No Signal
2,2022-07-07T00:00:00+05:30,31.95,32.2,31.9,32.05,5526725,,,No Signal
3,2022-07-08T00:00:00+05:30,32.15,32.75,31.55,32.3,7064894,,,No Signal
4,2022-07-11T00:00:00+05:30,32.25,32.5,31.9,32.2,2687385,,,No Signal
5,2022-07-12T00:00:00+05:30,32.25,33.25,32.15,33.0,7852055,,,No Signal
6,2022-07-13T00:00:00+05:30,33.2,33.75,33.0,33.45,5954312,,,No Signal
7,2022-07-14T00:00:00+05:30,33.7,34.5,33.45,34.2,13600476,,,No Signal
8,2022-07-15T00:00:00+05:30,34.7,34.9,33.65,34.6,11020453,,,No Signal
9,2022-07-18T00:00:00+05:30,34.8,34.8,34.05,34.25,4798136,,,No Signal
10,2022-07-19T00:00:00+05:30,34.0,34.45,33.65,33.75,3551414,,,No Signal
11,2022-07-20T00:00:00+05:30,33.8,34.0,32.9,33.3,5040658,,,No Signal
12,2022-07-21T00:00:00+05:30,33.45,34.15,33.2,33.45,11075040,,,No Signal
13,2022-07-22T00:00:00+05:30,33.45,33.55,32.85,33.2,8055084,,,No Signal
14,2022-07-25T00:00:00+05:30,32.8,33.2,32.75,33.0,8882532,,,No Signal
15,2022-07-26T00:00:00+05:30,33.1,33.3,32.85,33.0,3372906,,,No Signal
16,2022-07-27T00:00:00+05:30,33.05,33.15,32.85,33.0,3617296,,,No Signal
17,2022-07-28T00:00:00+05:30,33.1,34.05,32.8,33.7,8707410,,,No Signal
18,2022-07-29T00:00:00+05:30,33.8,34.75,33.8,34.15,12086060,,,No Signal
19,2022-08-01T00:00:00+05:30,34.5,35.2,33.95,34.7,8161346,33.222500000000004,0.9337917890317711,No Signal
20,2022-08-02T00:00:00+05:30,34.9,35.75,34.65,35.45,12820339,33.427499999999995,0.9509655757785278,No Signal
21,2022-08-03T00:00:00+05:30,35.9,36.5,35.4,35.95,15654254,33.635000000000005,1.0268885041717033,No Signal
22,2022-08-04T00:00:00+05:30,35.95,36.25,35.4,35.65,6032017,33.815,1.0496992050357234,No Signal
23,2022-08-05T00:00:00+05:30,35.65,36.5,35.0,35.9,34278978,33.995,1.0843261307811112,No Signal
24,2022-08-08T00:00:00+05:30,35.45,35.95,34.85,35.1,6872887,34.14,1.0238729361955439,No Signal
25,2022-08-10T00:00:00+05:30,35.1,35.4,33.75,33.95,9320952,34.1875,0.9896670093893623,Sell
26,2022-08-11T00:00:00+05:30,34.45,34.45,33.75,33.85,3743119,34.2075,0.9779509997411613,Sell
27,2022-08-12T00:00:00+05:30,33.7,34.45,33.4,34.0,5168337,34.197500000000005,0.9790536515592896,Sell
28,2022-08-16T00:00:00+05:30,34.2,34.7,33.35,34.5,7651590,34.1925,0.9771433930218817,No Signal
29,2022-08-17T00:00:00+05:30,34.7,35.3,33.75,34.1,10232170,34.184999999999995,0.9772544785210624,Sell
30,2022-08-18T00:00:00+05:30,34.3,34.8,33.85,34.65,5555765,34.230000000000004,0.9768908790001489,No Signal
31,2022-08-19T00:00:00+05:30,35.5,35.6,34.65,34.9,13334612,34.31,0.9621248414453886,No Signal
32,2022-08-22T00:00:00+05:30,34.7,34.9,33.85,33.95,5099028,34.334999999999994,0.9449449997918277,Sell
33,2022-08-23T00:00:00+05:30,33.75,34.6,33.5,34.0,9367131,34.375,0.9106822196920046,Sell
34,2022-08-24T00:00:00+05:30,33.9,34.35,33.8,34.0,4266148,34.425,0.8570911638547515,Sell
35,2022-08-25T00:00:00+05:30,34.75,35.9,34.55,35.35,19010192,34.542500000000004,0.811313911601355,No Signal
36,2022-08-26T00:00:00+05:30,35.4,36.0,34.85,35.55,16903996,34.67,0.7545301779741347,No Signal
37,2022-08-29T00:00:00+05:30,34.5,36.25,34.5,36.1,18410350,34.79,0.7824724646239842,No Signal
