,Date,Open,High,Low,Close,Volume,Volatility,EMA12,EMA26,MACD,Signal Line,H-L,H-PC,L-PC,TR,ATR,Avg_Volume,Signal
35,2022-08-25T00:00:00+05:30,1588.95,1612.5,1560.75,1571.74,376441,4.523490340009888,1518.3489520867172,1458.566002249028,59.7829498376891,54.142477061147616,51.75,32.74000000000001,19.00999999999999,51.75,49.65785714285713,443465.75,Buy
36,2022-08-26T00:00:00+05:30,1589.1,1603.5,1572.75,1581.53,184632,4.308617544699295,1528.0691133041453,1467.6744465268778,60.3946667772675,55.392915004371595,30.75,31.75999999999999,1.009999999999991,31.75999999999999,46.879999999999995,436999.15,Buy
37,2022-08-29T00:00:00+05:30,1500.04,1567.09,1500.04,1548.3,236128,3.915488535645522,1531.1815574112,1473.646709747109,57.534847664090876,55.82130153631545,67.04999999999995,14.440000000000055,81.49000000000001,81.49000000000001,50.357142857142854,419259.75,Buy
38,2022-08-30T00:00:00+05:30,1567.2,1581.75,1555.5,1569.3,285424,3.426558889198026,1537.0459331940922,1480.7321386547305,56.31379453936165,55.9198001369247,26.25,33.450000000000045,7.2000000000000455,33.450000000000045,50.01142857142856,422491.85,Buy
39,2022-09-01T00:00:00+05:30,1562.7,1648.88,1560.0,1635.68,675946,3.456835785130305,1552.2204050103858,1492.2097580136394,60.010646996746345,56.73796950888903,88.88000000000011,79.58000000000015,9.299999999999955,88.88000000000011,52.88857142857143,430568.15,Buy
40,2022-09-02T00:00:00+05:30,1647.68,1743.75,1638.53,1735.84,1983606,4.039493454667976,1580.4695734703264,1510.2564426052218,70.21313086510463,59.43300178013215,105.22000000000003,108.06999999999994,2.849999999999909,108.06999999999994,56.011428571428574,514843.6,Buy
41,2022-09-05T00:00:00+05:30,1739.81,1790.25,1716.0,1728.83,1263122,4.445266273656553,1603.2942544748917,1526.4470764863165,76.84717798857514,62.91583702182075,74.25,54.41000000000008,19.839999999999918,74.25,59.39142857142857,555818.9,Buy
42,2022-09-06T00:00:00+05:30,1738.46,1758.6,1726.24,1754.63,488777,4.970589095978969,1626.5766768633698,1543.3495152651078,83.227161598262,66.978101937109,32.3599999999999,29.769999999999982,2.589999999999918,32.3599999999999,54.04214285714285,538695.1,Buy
43,2022-09-07T00:00:00+05:30,1754.25,1847.7,1740.49,1829.55,987490,5.680808169282126,1657.803341961313,1564.5495511713962,93.25379078991682,72.23323970767056,107.21000000000004,93.06999999999994,14.1400000000001,107.21000000000004,59.798571428571435,567057.55,Buy
44,2022-09-08T00:00:00+05:30,1842.08,1900.13,1829.55,1853.55,1767601,6.3470177364408995,1687.9182124288034,1585.956991825367,101.96122060343646,78.17883588682375,70.58000000000015,70.58000000000015,0.0,70.58000000000015,62.31928571428573,642485.9,Buy
45,2022-09-09T00:00:00+05:30,1871.25,1991.1,1859.93,1945.61,2296721,6.9898946433137095,1727.5631028243722,1612.5979553938582,114.96514743051398,85.5360981955618,131.16999999999985,137.54999999999995,6.380000000000109,137.54999999999995,69.62642857142859,744234.5,Buy
46,2022-09-12T00:00:00+05:30,1938.08,1942.88,1893.75,1914.15,804802,7.651116926197436,1756.2687793129303,1634.935143883202,121.33363542972825,92.6956056423951,49.13000000000011,2.729999999999791,51.8599999999999,51.8599999999999,70.39,755987.95,Buy
47,2022-09-13T00:00:00+05:30,1935.0,1935.0,1818.45,1834.35,1367605,8.041153319014555,1768.2812748032486,1649.7066147066685,118.57466009658015,97.87141653323211,116.54999999999995,20.84999999999991,95.70000000000005,116.54999999999995,73.89357142857143,809390.0,Buy
48,2022-09-14T00:00:00+05:30,1807.5,1834.35,1778.25,1809.11,1429754,8.060935079604173,1774.5626171412105,1661.514272876545,113.0483442646655,100.9068020795188,56.09999999999991,0.0,56.09999999999991,56.09999999999991,74.41857142857143,820423.9,Buy
49,2022-09-15T00:00:00+05:30,1821.75,1903.46,1809.08,1879.09,1494030,7.819428007443177,1790.6437529656396,1677.6309934042083,113.01275956143127,103.3279935759013,94.38000000000011,94.35000000000014,0.029999999999972715,94.38000000000011,77.46357142857143,874109.3,Buy
50,2022-09-16T00:00:00+05:30,1879.09,1881.75,1732.88,1754.1,1513988,8.10280663577612,1785.021637124772,1683.2953642631558,101.72627286161628,103.0076494330443,148.8699999999999,2.660000000000082,146.2099999999998,148.8699999999999,85.82857142857142,934915.9,Sell
