,Date,Open,High,Low,Close,Volume,RSI,ATR,ADX,52-week High,Threshold,Volatility,14-day MA,10-day MA,20-day SMA,50-day SMA,Signal
38,2022-08-30T00:00:00+05:30,539.7,547.3,538.3,545.4,1128448,40.434597358329775,15.610935098975196,30.927777739866407,,,2.556081118699469,565.1714285714286,559.475,565.5275,,Sell
39,2022-09-01T00:00:00+05:30,545.4,546.95,537.0,539.05,1251348,39.42667220606563,15.206582591905542,29.980393655008367,,,2.797603421101719,563.3535714285714,555.3900000000001,564.5725,,Sell
40,2022-09-02T00:00:00+05:30,545.9,551.0,534.0,534.9,1640956,31.99470432480139,15.334683835340861,28.690246279806843,,,3.0349579905875568,560.4392857142857,550.5699999999999,562.5575000000001,,Sell
41,2022-09-05T00:00:00+05:30,540.0,542.75,536.0,539.55,718433,23.103792415169636,14.800063561387946,27.492252288548286,,,3.151167543370531,556.5892857142857,547.595,561.675,,Sell
42,2022-09-06T00:00:00+05:30,541.0,543.05,533.8,537.55,918366,24.959568733153617,14.403630449860236,26.567614134320653,,,3.2862849432092625,553.2714285714286,546.175,559.9975,,Sell
43,2022-09-07T00:00:00+05:30,537.0,545.95,535.15,544.75,853942,31.664058424621814,14.146228274870225,25.376440265978914,,,3.2779527403912545,550.7607142857144,544.705,558.8025,,Sell
44,2022-09-08T00:00:00+05:30,547.0,549.0,539.0,542.1,667965,28.48898216159496,13.850069112379495,23.92487708586362,,,3.338253267768412,547.8321428571428,542.78,557.515,,Sell
45,2022-09-09T00:00:00+05:30,544.0,551.9,541.0,542.3,1077978,33.47613219094244,13.639349890066674,22.253399671965457,,,3.3791412046356664,545.9035714285714,541.515,556.405,,Sell
46,2022-09-12T00:00:00+05:30,542.3,553.5,540.9,551.15,1082477,49.589041095890394,13.565110612204771,20.805811078746842,,,3.22574242733014,545.8607142857143,541.6449999999999,555.1775,,Sell
47,2022-09-13T00:00:00+05:30,553.9,554.8,547.7,553.15,800932,45.31946508172356,13.103316997047282,19.611386145489472,,,2.770934705845683,545.4107142857143,542.99,553.1625,,Sell
48,2022-09-14T00:00:00+05:30,542.0,556.4,542.0,552.2,1051579,43.10474755086661,13.195937211543903,18.6009457755129,,,2.4448837176633176,544.7571428571429,543.67,551.5725,,Sell
49,2022-09-15T00:00:00+05:30,554.0,556.75,542.3,547.15,856627,43.99999999999994,13.285513125005057,17.617253081782742,,,2.1488738143966533,544.1999999999999,544.4799999999999,549.9350000000001,553.679,Sell
50,2022-09-16T00:00:00+05:30,546.7,548.8,531.45,533.1,1602064,38.67478025693033,13.575833616076117,17.843009410359507,,,1.7665377010035324,543.0035714285714,544.3,547.4350000000001,553.673,Sell
51,2022-09-19T00:00:00+05:30,533.05,534.65,518.0,519.5,1216472,36.950904392764805,13.795416929213536,19.087149317062305,,,1.9062717338853046,541.5607142857142,542.295,544.945,553.183,Sell
52,2022-09-20T00:00:00+05:30,519.5,538.35,519.45,533.45,1789231,43.023934617629926,14.160030005698282,19.746038241155514,,,1.8905213675903205,540.7071428571428,541.885,544.03,552.9209999999999,Sell
53,2022-09-21T00:00:00+05:30,536.15,539.35,523.55,525.1,1249104,42.04221334854539,14.277170719576981,20.222828260613586,,,1.950941444385889,539.7107142857143,539.92,542.3125,552.492,Sell
54,2022-09-22T00:00:00+05:30,525.1,526.8,519.0,520.7,1863587,41.922639362912435,13.814515668178622,21.01944301805661,,,1.9782766512216516,538.6964285714286,537.78,540.28,552.0269999999999,Sell
55,2022-09-23T00:00:00+05:30,520.8,529.5,515.0,517.05,1445867,37.05408515535099,13.863478834737291,22.052907039097573,,,2.113369385189566,537.0892857142857,535.255,538.385,551.663,Sell
56,2022-09-26T00:00:00+05:30,514.8,515.5,497.85,502.15,1108783,32.26452905811625,14.244658917970337,24.011259487202445,,,2.6389454676530497,534.5607142857142,530.3549999999999,536.0,550.5169999999999,Sell
57,2022-09-27T00:00:00+05:30,504.5,507.0,494.3,502.9,1038202,27.584359935725757,14.134326138115313,25.996072963944986,,,3.008969521836249,531.5714285714286,525.33,534.16,549.5210000000001,Sell
58,2022-09-28T00:00:00+05:30,500.0,505.1,497.95,500.55,999919,27.6732939279957,13.635445699678508,27.83911404949163,,,3.321956634499413,528.6035714285715,520.1650000000001,531.9175,548.557,Sell
59,2022-09-29T00:00:00+05:30,504.45,510.9,503.2,509.7,1950536,34.01960784313728,13.400771006844327,28.679683622637775,,,3.384145436829339,526.275,516.42,530.45,547.683,Sell
60,2022-09-30T00:00:00+05:30,512.25,517.8,505.3,510.6,2067616,28.442317916002168,13.336430220641157,28.52987152261637,,,3.479649503315373,523.3785714285715,514.17,529.2349999999999,546.756,Sell
61,2022-10-03T00:00:00+05:30,510.55,536.7,509.8,535.2,2466970,42.306043720531534,14.305256633452506,26.544587921760993,,,3.299790134455772,522.0964285714286,515.74,529.0175,546.261,Sell
62,2022-10-04T00:00:00+05:30,536.0,545.7,533.0,544.25,1932227,46.813627254509,14.190595445348759,25.4076268378537,,,3.287618642682967,521.5285714285715,516.82,529.3525000000001,546.049,Sell
63,2022-10-06T00:00:00+05:30,549.95,552.75,540.25,542.5,1518683,48.085631947303426,14.069838627823849,24.84688705052273,,,3.280696641831027,521.1964285714286,518.5600000000001,529.24,545.88,Sell
64,2022-10-07T00:00:00+05:30,541.1,544.0,537.1,539.9,620742,53.090909090909065,13.557707297265,24.024167010268084,,,3.2822274668193803,521.6821428571428,520.48,529.13,545.801,Sell
65,2022-10-10T00:00:00+05:30,535.0,538.25,528.75,535.45,500642,57.90778383738227,13.385728204603213,22.50641337710093,,,3.2716107183348777,522.8214285714286,522.3199999999999,528.7875,545.987,Sell
66,2022-10-11T00:00:00+05:30,533.05,535.7,506.7,510.35,1787877,39.687499999999986,14.501033332845845,22.237588911859756,,,3.3601141420328355,521.1714285714286,523.1400000000001,526.7475,545.3520000000001,Sell
