,Date,Open,High,Low,Close,Volume,RSI,ATR,ADX,52-week High,Threshold,Volatility,14-day MA,10-day MA,20-day SMA,50-day SMA,Signal
46,2022-09-12T00:00:00+05:30,528.8,531.0,524.7,525.75,1272607,51.77865612648221,13.675372338075166,27.532284241923552,,,2.7807194281158867,525.3214285714286,523.95,529.8125,,Sell
47,2022-09-13T00:00:00+05:30,529.7,548.4,526.55,544.1,4622183,57.87292817679555,14.316417171069796,26.68850059103036,,,2.1618868124002653,526.1357142857142,526.45,528.5250000000001,,Sell
48,2022-09-14T00:00:00+05:30,534.15,538.8,528.0,529.0,2032616,50.84951456310679,14.443815944564813,25.90498720091525,,,1.2222657780685222,526.2357142857143,527.15,526.4575000000001,,Buy
49,2022-09-15T00:00:00+05:30,532.8,533.4,524.0,526.2,977107,51.411042944785315,14.083543377095896,24.654509457223547,,,1.091040337134141,526.4,527.075,525.8125,551.91,No Signal
50,2022-09-16T00:00:00+05:30,525.0,525.65,508.1,515.45,1525114,41.00761570005864,14.370433135874762,23.94364127030306,,,1.155304215217039,525.3035714285714,526.22,525.6800000000001,551.017,No Signal
51,2022-09-19T00:00:00+05:30,516.5,519.85,513.05,515.0,2096577,47.23346828609986,13.829687911883713,23.283549382448324,,,1.2303326750319499,525.0107142857144,525.45,525.3875,549.946,No Signal
52,2022-09-20T00:00:00+05:30,517.6,524.5,513.15,514.6,736877,44.8324022346369,13.652567346749164,22.118322875024155,,,1.316208913133044,524.4821428571429,524.9300000000001,524.9425,548.901,Sell
53,2022-09-21T00:00:00+05:30,514.5,517.05,486.2,497.9,2126184,32.57348530293942,14.880955393409936,23.00416245857352,,,1.7739322252937264,522.407142857143,522.03,523.2025000000001,547.51,Sell
54,2022-09-22T00:00:00+05:30,499.0,499.65,468.65,479.15,5020711,27.382753403933478,16.032315722452083,24.631042851259068,,,2.744695746675724,519.2035714285714,517.415,520.78,545.558,Sell
55,2022-09-23T00:00:00+05:30,482.05,493.9,469.45,475.0,2880236,26.61764705882355,16.633578885134078,26.141717501609932,,,3.500407740813416,515.7964285714286,512.2149999999999,518.335,543.653,Sell
56,2022-09-26T00:00:00+05:30,474.9,475.0,462.4,468.15,1773527,25.625294950448364,16.345466107624503,27.83175267267477,,,4.221113445039246,512.1071428571429,506.4549999999999,515.2025,541.4019999999999,Sell
