Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,2194.9,2229.95,2161.0,2169.95,557928
2022-07-06T00:00:00+05:30,2170.0,2231.95,2152.55,2204.3,362899
2022-07-07T00:00:00+05:30,2220.0,2255.0,2185.05,2209.85,358481
2022-07-08T00:00:00+05:30,2242.6,2271.75,2208.0,2232.8,368033
2022-07-11T00:00:00+05:30,2201.0,2214.5,2131.0,2201.35,498479
2022-07-12T00:00:00+05:30,2196.8,2234.0,2155.0,2164.95,443194
2022-07-13T00:00:00+05:30,2178.65,2192.95,2140.0,2147.05,329805
2022-07-14T00:00:00+05:30,2163.95,2172.25,2090.0,2111.2,528566
2022-07-15T00:00:00+05:30,2122.3,2144.9,2070.5,2141.55,885044
2022-07-18T00:00:00+05:30,2160.0,2203.95,2141.2,2159.0,567322
2022-07-19T00:00:00+05:30,2158.0,2173.3,2132.0,2146.8,591954
2022-07-20T00:00:00+05:30,2180.0,2269.95,2165.5,2256.35,817926
2022-07-21T00:00:00+05:30,2270.0,2274.0,2216.0,2259.65,645966
2022-07-22T00:00:00+05:30,2264.8,2298.0,2173.0,2276.45,1217951
2022-07-25T00:00:00+05:30,2290.0,2342.0,2264.95,2322.35,1112984
2022-07-26T00:00:00+05:30,2318.0,2320.0,2170.0,2177.55,1219365
2022-07-27T00:00:00+05:30,2186.6,2223.8,2151.0,2217.95,679283
2022-07-28T00:00:00+05:30,2244.95,2257.55,2216.35,2236.2,595033
2022-07-29T00:00:00+05:30,2264.8,2319.0,2261.3,2299.8,867621
2022-08-01T00:00:00+05:30,2330.0,2334.15,2291.85,2305.95,475676
2022-08-02T00:00:00+05:30,2305.95,2305.95,2265.3,2282.8,301778
2022-08-03T00:00:00+05:30,2282.0,2328.0,2261.0,2320.0,672774
2022-08-04T00:00:00+05:30,2345.0,2386.95,2308.0,2371.45,1057443
2022-08-05T00:00:00+05:30,2380.0,2410.0,2365.0,2394.85,451842
2022-08-08T00:00:00+05:30,2399.95,2408.2,2364.55,2391.15,305148
2022-08-10T00:00:00+05:30,2390.0,2391.15,2312.75,2364.4,398932
2022-08-11T00:00:00+05:30,2380.7,2429.85,2380.7,2424.75,451705
2022-08-12T00:00:00+05:30,2426.2,2427.95,2362.55,2373.95,485288
2022-08-16T00:00:00+05:30,2413.9,2413.9,2343.5,2353.75,278919
2022-08-17T00:00:00+05:30,2369.8,2419.0,2348.15,2404.4,554058
2022-08-18T00:00:00+05:30,2404.0,2419.0,2353.0,2411.2,462925
2022-08-19T00:00:00+05:30,2423.0,2444.9,2372.25,2394.15,614643
2022-08-22T00:00:00+05:30,2389.0,2389.0,2330.0,2346.3,688024
2022-08-23T00:00:00+05:30,2310.0,2315.4,2215.1,2264.95,911993
2022-08-24T00:00:00+05:30,2275.0,2294.2,2210.0,2220.4,591606
2022-08-25T00:00:00+05:30,2239.8,2245.0,2188.0,2192.95,362950
2022-08-26T00:00:00+05:30,2221.55,2232.95,2156.85,2166.05,537376
2022-08-29T00:00:00+05:30,2075.0,2119.95,2062.05,2087.3,582186
2022-08-30T00:00:00+05:30,2146.0,2148.95,2090.1,2130.95,549298
2022-09-01T00:00:00+05:30,2118.0,2137.8,2081.0,2094.6,532533
2022-09-02T00:00:00+05:30,2116.25,2116.85,2070.05,2072.85,524374
2022-09-05T00:00:00+05:30,2073.0,2098.2,2070.25,2092.4,392886
2022-09-06T00:00:00+05:30,2100.0,2111.7,2055.05,2061.05,590937
2022-09-07T00:00:00+05:30,2055.0,2092.2,2035.0,2083.95,457584
2022-09-08T00:00:00+05:30,2122.0,2136.6,2081.55,2096.6,371048
2022-09-09T00:00:00+05:30,2121.75,2158.0,2092.0,2144.85,348807
2022-09-12T00:00:00+05:30,2166.0,2178.85,2141.15,2160.6,538099
2022-09-13T00:00:00+05:30,2180.0,2182.0,2143.15,2152.1,384529
2022-09-14T00:00:00+05:30,2075.3,2103.75,2075.3,2089.65,687221
2022-09-15T00:00:00+05:30,2100.1,2111.35,2071.05,2096.65,226649
2022-09-16T00:00:00+05:30,2090.0,2090.5,2002.15,2016.35,582933
2022-09-19T00:00:00+05:30,2023.95,2040.0,1991.1,2028.15,443410
2022-09-20T00:00:00+05:30,2035.4,2115.0,2035.4,2072.85,526606
2022-09-21T00:00:00+05:30,2064.95,2095.7,2050.0,2075.1,363494
2022-09-22T00:00:00+05:30,2051.65,2097.9,2045.05,2058.7,402091
2022-09-23T00:00:00+05:30,2031.0,2076.9,2010.5,2019.45,472776
2022-09-26T00:00:00+05:30,2005.0,2064.5,1981.55,2042.8,569496
2022-09-27T00:00:00+05:30,2051.0,2084.1,2018.05,2052.75,520323
2022-09-28T00:00:00+05:30,2050.5,2099.0,2042.0,2082.5,602195
2022-09-29T00:00:00+05:30,2100.95,2108.5,2051.25,2075.95,1532398
2022-09-30T00:00:00+05:30,2052.0,2105.0,2052.0,2087.65,891730
2022-10-03T00:00:00+05:30,2088.05,2097.9,2000.1,2006.3,693684
2022-10-04T00:00:00+05:30,2040.0,2078.1,2026.3,2068.0,835616
2022-10-06T00:00:00+05:30,2079.0,2130.55,2075.05,2122.05,1035065
2022-10-07T00:00:00+05:30,2137.8,2139.8,2083.5,2118.45,449791
2022-10-10T00:00:00+05:30,2080.0,2133.0,2068.0,2126.5,329230
2022-10-11T00:00:00+05:30,2137.7,2153.6,2080.0,2093.8,601968
2022-10-12T00:00:00+05:30,2090.0,2105.0,2046.0,2087.6,481258
2022-10-13T00:00:00+05:30,2078.0,2105.8,2059.0,2086.6,217471
2022-10-14T00:00:00+05:30,2138.0,2150.0,2097.0,2105.7,578289
2022-10-17T00:00:00+05:30,2100.0,2112.0,2082.2,2100.95,321141
2022-10-18T00:00:00+05:30,2111.7,2132.0,2106.0,2115.0,311038
2022-10-19T00:00:00+05:30,2117.0,2125.45,2106.75,2109.45,149644
2022-10-20T00:00:00+05:30,2100.0,2151.0,2071.55,2147.4,418947
2022-10-21T00:00:00+05:30,2120.0,2130.0,2032.35,2042.95,1176361
2022-10-24T00:00:00+05:30,2051.1,2066.0,2026.4,2038.0,52350
2022-10-25T00:00:00+05:30,2054.0,2055.0,2020.0,2034.4,335190
2022-10-27T00:00:00+05:30,2055.25,2055.25,1961.0,1969.95,691082
2022-10-28T00:00:00+05:30,1970.0,1982.0,1928.5,1947.85,837368
2022-10-31T00:00:00+05:30,1960.0,1989.7,1959.0,1978.5,378894
2022-11-01T00:00:00+05:30,1988.4,2015.5,1977.1,2011.3,426274
2022-11-02T00:00:00+05:30,2019.0,2041.95,2003.0,2036.15,312700
2022-11-03T00:00:00+05:30,2005.0,2009.0,1981.0,1989.7,466729
2022-11-04T00:00:00+05:30,1990.0,1993.65,1956.0,1969.8,294483
2022-11-07T00:00:00+05:30,1975.3,1987.9,1951.45,1983.0,431954
2022-11-09T00:00:00+05:30,1985.9,1996.65,1941.0,1949.65,464484
2022-11-10T00:00:00+05:30,1939.0,1954.8,1914.05,1928.15,425484
2022-11-11T00:00:00+05:30,1965.1,2034.0,1962.95,2026.65,1345842
2022-11-14T00:00:00+05:30,2048.0,2063.0,2024.0,2035.4,529100
2022-11-15T00:00:00+05:30,2030.0,2050.0,1987.3,2013.65,505605
2022-11-16T00:00:00+05:30,2014.0,2039.65,2000.0,2036.45,476388
2022-11-17T00:00:00+05:30,2020.5,2038.05,1965.0,1972.55,519295
2022-11-18T00:00:00+05:30,1978.0,1987.45,1936.0,1948.6,449611
2022-11-21T00:00:00+05:30,1949.05,1952.0,1922.05,1925.4,428669
2022-11-22T00:00:00+05:30,1925.0,1934.7,1898.5,1923.95,720681
2022-11-23T00:00:00+05:30,1932.0,1948.0,1898.0,1899.65,586691
2022-11-24T00:00:00+05:30,1909.15,1948.2,1901.05,1941.25,717373
2022-11-25T00:00:00+05:30,1950.0,1999.95,1930.5,1989.55,582532
2022-11-28T00:00:00+05:30,1989.75,2022.5,1974.0,2011.65,353028
