Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,206.6,210.0,201.1,202.25,558188
2022-07-06T00:00:00+05:30,202.3,209.9,198.0,208.15,780800
2022-07-07T00:00:00+05:30,210.95,216.65,210.95,215.2,690596
2022-07-08T00:00:00+05:30,217.4,218.05,210.4,212.25,486087
2022-07-11T00:00:00+05:30,211.6,232.0,210.85,227.2,1344314
2022-07-12T00:00:00+05:30,228.3,238.7,227.2,232.85,2108724
2022-07-13T00:00:00+05:30,234.0,235.8,225.0,228.35,861346
2022-07-14T00:00:00+05:30,231.9,234.7,228.2,231.95,1196521
2022-07-15T00:00:00+05:30,232.2,233.15,225.3,228.75,553800
2022-07-18T00:00:00+05:30,232.5,236.75,228.4,234.05,854760
2022-07-19T00:00:00+05:30,234.75,241.0,234.25,237.0,909153
2022-07-20T00:00:00+05:30,238.0,248.8,234.1,241.65,1474605
2022-07-21T00:00:00+05:30,241.65,243.95,232.65,235.55,776973
2022-07-22T00:00:00+05:30,249.9,249.9,235.0,237.55,4990234
2022-07-25T00:00:00+05:30,236.4,237.8,229.0,229.65,1356343
2022-07-26T00:00:00+05:30,229.8,231.5,220.55,222.8,878548
2022-07-27T00:00:00+05:30,222.8,229.7,222.1,227.75,1008256
2022-07-28T00:00:00+05:30,229.0,244.4,227.5,242.8,2838130
2022-07-29T00:00:00+05:30,243.3,248.25,236.5,238.75,1962268
2022-08-01T00:00:00+05:30,239.95,247.0,236.0,246.15,1803824
2022-08-02T00:00:00+05:30,247.0,263.9,242.65,261.6,4639604
2022-08-03T00:00:00+05:30,260.0,266.7,254.5,264.5,2348753
2022-08-04T00:00:00+05:30,265.75,274.7,255.0,273.7,2866852
2022-08-05T00:00:00+05:30,273.0,288.4,270.0,285.8,3533833
2022-08-08T00:00:00+05:30,287.2,317.0,284.1,311.65,8503073
2022-08-10T00:00:00+05:30,316.1,323.7,303.2,321.2,7423186
2022-08-11T00:00:00+05:30,322.0,323.35,311.0,317.65,2611703
